SEQPLT16,PSTATABB,PNAME,PLPRMFL,CAPFAC,NAMEPCAP,PLNGENAN,PLCO2EQA
1,AK,7-Mile Ridge Wind Project,WND,,1.8,,
2,AK,Agrium Kenai Nitrogen Operations,NG,,21.6,,
3,AK,Alakanuk,DFO,0.0533,2.6,1213,"1,050"
4,AK,Allison Creek Hydro,WAT,0.0155,6.5,881,0
5,AK,Ambler,DFO,0.1366,1.1,1316,"1,088"
6,AK,Anchorage 1,NG,0.0424,121.4,45082,"31,903"
7,AK,Angoon,DFO,0.103,1.9,1714,"1,430"
8,AK,Aniak,DFO,0.1148,2.6,2614,"2,167"
9,AK,Annex Creek,WAT,0.7319,4,25644,0
10,AK,Auke Bay,DFO,0,36.2,8,244
11,AK,Aurora Energy LLC Chena,SUB,0.7002,31.3,191982,"191,349"
12,AK,Barrow,NG,0.2821,20.3,50162,"44,205"
13,AK,Battery Energy Storage System,MWH,0,40,-2392,0
14,AK,Beaver Falls,WAT,0.9072,5.4,42915,0
15,AK,Beluga,NG,0.0257,374.4,84421,"89,981"
16,AK,Bernice Lake,NG,0,76.7,12,429
17,AK,Bethel,DFO,0.3716,12.6,41020,"33,000"
18,AK,Black Bear Lake,WAT,0.5267,4.5,20763,0
19,AK,Blue Lake Hydro,WAT,0.3441,22.9,69018,0
20,AK,Bradley Lake,WAT,0.39,126,430509,0
21,AK,Brevig Mission,DFO,0.0865,1.5,1137,878
22,AK,Centennial,DFO,0.1054,3.3,3046,"3,050"
23,AK,Chester Lake,WAT,0.5234,1,4585,0
24,AK,Chevak,DFO,0.1007,2.8,2471,"1,515"
25,AK,Cooper Lake,WAT,0.51,19.4,86666,0
26,AK,Craig (AK),DFO,0.0079,6.2,431,465
27,AK,Delta Power,DFO,0.0002,23.1,38,298
28,AK,Delta Wind Farm,WND,0.2671,1.9,4446,0
29,AK,Dillingham,DFO,0.1933,10.7,18122,"14,187"
30,AK,Dutch Harbor,DFO,0.206,26,46918,"34,984"
31,AK,Eielson AFB Central Heat & Power Plant,SUB,0.2382,33.5,69895,"41,747"
32,AK,Eklutna Generation Station,NG,0.5468,171,819046,"417,888"
33,AK,Eklutna Hydro Project,WAT,0.1978,44.4,76916,0
34,AK,Elim,DFO,0.0912,1.6,1278,948
35,AK,Emmonak,DFO,0.1107,4.8,4654,"3,020"
36,AK,ESS Battery,MWH,0,3,0,
37,AK,Eva Creek Wind,WND,0.3427,24.6,73845,0
38,AK,Fairbanks,DFO,0.0193,42.2,7133,"12,944"
39,AK,False Island,DFO,0.0492,1.6,689,559
40,AK,Fire Island Wind,WND,0.3553,18,56022,0
41,AK,Flywheel Energy Storage System,MWH,0,2,0,
42,AK,Fort Greely Power Plant,DFO,0.0012,10.4,108,89
43,AK,Galena Electric Utility,DFO,0.0769,8,5390,"4,742"
44,AK,Gambell,DFO,0.1148,1.9,1911,"1,143"
45,AK,George M Sullivan Generation Plant 2,NG,0.1611,418,589738,"380,840"
46,AK,Glennallen,DFO,0.1051,11.3,10403,"8,335"
47,AK,Goat Lake Hydro,WAT,0.4839,4,16957,0
48,AK,Gold Creek,WAT,0.0541,9.7,4597,9
49,AK,Green Lake,WAT,0.2208,18.6,35983,0
50,AK,Gwitchyaa Zhee,DFO,0.0486,6,2554,"2,469"
51,AK,Haines,DFO,0,7.3,-201,101
52,AK,Healy,LIG,0.2368,92.8,192475,"300,820"
53,AK,Hiilangaay Hydro,WAT,,5,,
54,AK,Hoonah,DFO,0.1124,3.4,3348,"2,673"
55,AK,Hooper Bay,DFO,0.1151,3.3,3326,"2,272"
56,AK,Humpback Creek,WAT,0.3561,1.2,3743,0
57,AK,Hydaburg,DFO,0,1,-9,16
58,AK,Industrial Plant,DFO,0.0004,41.7,138,"1,531"
59,AK,International,NG,0,46.3,-780,136
60,AK,Jarvis Street,DFO,0.0049,25.6,1099,"1,734"
61,AK,JBER Landfill Gas Power Plant,LFG,0.422,11.5,42516,1
62,AK,Kake,DFO,0.0814,3,2139,"1,892"
63,AK,Kasidaya Creek Hydro,WAT,0.271,3,7123,0
64,AK,Kasigluk,DFO,0.1407,2.4,2958,"1,934"
65,AK,Ketchikan,WAT,0.5622,4.2,20683,0
66,AK,Kiana,DFO,0.1038,1.7,1545,"1,198"
67,AK,King Cove,WAT,0.1719,2.6,3914,"1,663"
68,AK,Kivalina,DFO,0.133,1.1,1282,971
69,AK,Klawock,DFO,,1.4,,
70,AK,Kodiak,DFO,0,37.3,0,
71,AK,Kotlik,DFO,0.1571,1.4,1927,"1,466"
72,AK,Kotzebue,DFO,0.1146,20.4,20474,"13,178"
73,AK,Koyuk,DFO,0.1336,1.1,1287,947
74,AK,Lake Dorothy Hydroelectric Project,WAT,0.6981,14.3,87454,0
75,AK,Lemon Creek,DFO,0.0004,61.7,212,275
76,AK,Mahoney Lake Hydroelectric,WAT,,9.6,,
77,AK,Marshall,DFO,0.153,1.1,1474,"1,164"
78,AK,McGrath,DFO,0.0817,3.2,2289,"1,808"
79,AK,Mountain Village,DFO,0.0842,3.7,2729,"2,187"
80,AK,Naknek,DFO,0.2269,11.1,22066,"9,587"
81,AK,New Stuyahok,DFO,0.1095,1.4,1343,"1,037"
82,AK,Newhalen,WAT,0.1133,3.2,3177,67
